Orthogroup	Duplications (all)	Duplications (50% support)
OG0001100	57	57
OG0001101	54	54
OG0001102	63	63
OG0001103	53	51
OG0001104	56	55
OG0001105	56	53
OG0001106	53	52
OG0001107	57	49
OG0001108	60	56
OG0001109	43	40
OG0001110	48	41
OG0001111	48	43
OG0001112	51	51
OG0001113	54	50
OG0001114	46	46
OG0001115	49	40
OG0001116	53	46
OG0001117	47	44
OG0001118	43	40
OG0001119	58	57
OG0001120	48	45
OG0001121	59	56
OG0001122	46	36
OG0001123	56	46
OG0001124	48	42
OG0001125	49	49
OG0001126	53	45
OG0001127	50	46
OG0001128	52	51
OG0001129	56	52
OG0001130	48	43
OG0001131	49	42
OG0001132	49	44
OG0001133	47	44
OG0001134	54	51
OG0001135	61	61
OG0001136	54	53
OG0001137	50	49
OG0001138	52	49
OG0001139	63	63
OG0001140	53	53
OG0001141	50	50
OG0001142	47	47
OG0001143	50	46
OG0001144	46	42
OG0001145	51	47
OG0001146	52	49
OG0001147	48	47
OG0001148	57	56
OG0001149	53	53
OG0001150	52	47
OG0001151	54	49
OG0001152	32	27
OG0001153	50	50
OG0001154	57	57
OG0001155	55	48
OG0001156	54	54
OG0001157	45	45
OG0001158	51	51
OG0001159	55	53
OG0001160	54	52
OG0001161	48	47
OG0001162	53	49
OG0001163	51	48
OG0001164	43	40
OG0001165	49	47
OG0001166	48	46
OG0001167	42	40
OG0001168	53	47
OG0001169	48	38
OG0001170	37	30
OG0001171	53	48
OG0001172	53	44
OG0001173	54	50
OG0001174	50	48
OG0001175	52	52
OG0001176	52	47
OG0001177	55	50
OG0001178	50	50
OG0001179	54	54
OG0001180	51	46
OG0001181	43	40
OG0001182	52	44
OG0001183	51	51
OG0001184	51	47
OG0001185	57	51
OG0001186	54	50
OG0001187	53	51
OG0001188	46	45
OG0001189	44	35
OG0001190	52	43
OG0001191	57	57
OG0001192	43	39
OG0001193	46	42
OG0001194	51	50
OG0001195	45	44
OG0001196	51	43
OG0001197	34	30
OG0001198	46	45
OG0001199	5	2
OG0001200	47	47
OG0001201	46	45
OG0001202	44	37
OG0001203	46	44
OG0001204	54	51
OG0001205	41	36
OG0001206	48	45
OG0001207	42	42
OG0001208	47	44
OG0001209	53	49
OG0001210	40	34
OG0001211	53	45
OG0001212	29	29
OG0001213	51	47
OG0001214	35	34
OG0001215	48	44
OG0001216	45	41
OG0001217	51	49
OG0001218	53	49
OG0001219	44	42
OG0001220	42	40
OG0001221	59	59
OG0001222	50	47
OG0001223	44	43
OG0001224	36	29
OG0001225	42	37
OG0001226	55	47
OG0001227	52	43
OG0001228	42	37
OG0001229	49	48
OG0001230	49	44
OG0001231	57	56
OG0001232	55	55
OG0001233	62	62
OG0001234	54	54
OG0001235	37	31
OG0001236	49	38
OG0001237	55	47
OG0001238	53	49
OG0001239	48	46
OG0001240	49	40
OG0001241	44	38
OG0001242	43	37
OG0001243	48	45
OG0001244	56	51
OG0001245	50	49
OG0001246	41	40
OG0001247	52	49
OG0001248	59	58
OG0001249	46	46
OG0001250	46	38
OG0001251	36	33
OG0001252	49	43
OG0001253	43	33
OG0001254	60	60
OG0001255	50	50
OG0001256	50	47
OG0001257	49	45
OG0001258	54	48
OG0001259	49	48
OG0001260	53	46
OG0001261	34	29
OG0001262	50	45
OG0001263	39	38
OG0001264	51	48
OG0001265	49	37
OG0001266	62	62
OG0001267	46	44
OG0001268	50	49
OG0001269	52	50
OG0001270	44	44
OG0001271	48	44
OG0001272	46	43
OG0001273	51	47
OG0001274	31	26
OG0001275	42	40
OG0001276	51	49
OG0001277	60	60
OG0001278	43	41
OG0001279	39	32
OG0001280	39	36
OG0001281	50	50
OG0001282	48	45
OG0001283	47	44
OG0001284	58	58
OG0001285	53	51
OG0001286	50	45
OG0001287	44	44
OG0001288	36	34
OG0001289	50	50
OG0001290	48	48
OG0001291	41	40
OG0001292	51	49
OG0001293	52	48
OG0001294	45	40
OG0001295	50	42
OG0001296	55	55
OG0001297	52	51
OG0001298	56	56
OG0001299	52	52
OG0001300	50	40
OG0001301	53	51
OG0001302	48	47
OG0001303	48	47
OG0001304	48	46
OG0001305	50	50
OG0001306	36	29
OG0001307	51	44
OG0001308	51	51
OG0001309	45	42
OG0001310	22	20
OG0001311	54	53
OG0001312	43	43
OG0001313	26	21
OG0001314	48	48
OG0001315	52	49
OG0001316	51	48
OG0001317	46	42
OG0001318	54	53
OG0001319	47	41
OG0001320	46	46
OG0001321	51	48
OG0001322	48	46
OG0001323	36	33
OG0001324	54	52
OG0001325	41	39
OG0001326	51	49
OG0001327	30	30
OG0001328	44	42
OG0001329	55	55
OG0001330	53	53
OG0001331	51	45
OG0001332	40	40
OG0001333	39	39
OG0001334	55	53
OG0001335	59	59
OG0001336	48	43
OG0001337	45	32
OG0001338	58	58
OG0001339	43	40
OG0001340	40	36
OG0001341	42	34
OG0001342	49	49
OG0001343	21	20
OG0001344	47	41
OG0001345	43	39
OG0001346	42	42
OG0001347	44	37
OG0001348	47	43
OG0001349	51	51
OG0001350	46	45
OG0001351	52	39
OG0001352	36	34
OG0001353	47	43
OG0001354	51	48
OG0001355	47	43
OG0001356	58	58
OG0001357	48	44
OG0001358	46	44
OG0001359	38	38
OG0001360	52	49
OG0001361	56	56
OG0001362	50	47
OG0001363	37	37
OG0001364	44	44
OG0001365	39	37
OG0001366	52	47
OG0001367	52	52
OG0001368	48	48
OG0001369	48	46
OG0001370	40	37
OG0001371	49	49
OG0001372	52	52
OG0001373	52	47
OG0001374	49	41
OG0001375	57	57
OG0001376	43	42
OG0001377	46	46
OG0001378	47	47
OG0001379	35	28
